b0001	thrL	ECK0001	P0AD86
b1545	pinQ	ECK1538	P77170
b1546	tfaQ	ECK1539	P76155
b1547	stfQ	ECK1540	P77515
b4533	ynfO	ECK1542	Q2EES0
b1549	ydfO	ECK1543	P76156
b1550	gnsB	ECK1544	P77695
b1551	ynfN	ECK1545	P76157
b1552	cspI	ECK1546	P0A986
b1553	rzpQ	ECK1547	P76158
b4689	rzoQ	ECK4503	C1P601
b1554	rrrQ	ECK1548	P76159
b1555	ydfR	ECK1549	P76160
b1556	essQ	ECK1550	P77237
b1557	cspB	ECK1551	P36995
b1558	cspF	ECK1552	P0A976
b1559	quuQ	ECK1553	P76161
b1560	ydfU	ECK1554	P76162
b1561	rem	ECK1555	P07010
b1562	hokD	ECK1556	P0ACG6
b1563	relE	ECK1557	P0C077
b1564	relB	ECK1558	P0C079
b1565	ydfV	ECK1559	P76163
b1566	flxA	ECK1560	P77609
b1569	dicC	ECK1563	P06965
b1570	dicA	ECK1564	P06966
b1571	ydfA	ECK1565	P0ACW8
b1572	ydfB	ECK1566	P29009
b1573	ydfC	ECK1567	P21418
b1575	dicB	ECK1569	P09557
b1576	ydfD	ECK1570	P29010
b1580	rspB	ECK1575	P38105
b1581	rspA	ECK1576	P38104
b1582	ynfA	ECK1577	P76169
b1583	ynfB	ECK1578	P76170
b1584	speG	ECK1579	P0A951
b1585	ynfC	ECK1580	P67553
b1586	ynfD	ECK1581	P76172
b1587	ynfE	ECK1582	P77374
b1588	ynfF	ECK1583	P77783
b1589	ynfG	ECK1584	P0AAJ1
b1590	ynfH	ECK1585	P76173
b1591	dmsD	ECK1586	P69853
b1592	clcB	ECK1587	P76175
b1593	ynfK	ECK1588	P0A6E9
b1594	mlc	ECK1589	P50456
b1595	ynfL	ECK1590	P77559
b1596	ynfM	ECK1591	P43531
b1597	asr	ECK1592	P36560
b4601	ydgU	ECK4410	A5A617
b1598	ydgD	ECK1593	P76176
b1599	mdtI	ECK1594	P69210
b1600	mdtJ	ECK1595	P69212
b1601	tqsA	ECK1596	P0AFS5
b1602	pntB	ECK1597	P0AB67
b1603	pntA	ECK1598	P07001
b1604	ydgH	ECK1599	P76177
b1605	ydgI	ECK1600	P0AAE5
b1606	folM	ECK1601	P0AFS3
b1607	ydgC	ECK1602	P0ACX0
b1608	rstA	ECK1603	P52108
b1609	rstB	ECK1604	P18392
b1610	tus	ECK1605	P16525
b1611	fumC	ECK1606	P05042
b1612	fumA	ECK1607	P0AC33
b1613	manA	ECK1608	P00946
b1614	ydgA	ECK1609	P77804
b1615	uidC	ECK1610	Q47706
b1616	uidB	ECK1611	P0CE44
b1617	uidA	ECK1612	P05804
b1618	uidR	ECK1613	P0ACT6
b1619	hdhA	ECK1614	P0AET8
b1620	malI	ECK1615	P18811
b1621	malX	ECK1616	P19642
b1622	malY	ECK1617	P23256
b1623	add	ECK1618	P22333
b1624	ydgJ	ECK1619	P77376
b4409	blr	ECK1620	P56976
b1625	cnu	ECK1621	P64467
b1626	ydgK	ECK1622	P76180
b1627	rsxA	ECK1623	P0A766
b1628	rsxB	ECK1624	P77223
b1629	rsxC	ECK1625	P77611
b1630	rsxD	ECK1626	P76182
b1631	rsxG	ECK1627	P77285
b1632	rsxE	ECK1628	P77179
b1633	nth	ECK1629	P0AB83
b1634	dtpA	ECK1630	P77304
b1635	gstA	ECK1631	P0A9D2
b1636	pdxY	ECK1632	P77150
b1637	tyrS	ECK1633	P0AGJ9
b1638	pdxH	ECK1634	P0AFI7
b1639	mliC	ECK1635	P28224
b1640	anmK	ECK1636	P77570
b1641	slyB	ECK1637	P0A905
b1642	slyA	ECK1638	P0A8W2
b1643	ydhI	ECK1639	P64471
b1644	ydhJ	ECK1640	P76185
b1645	ydhK	ECK1641	P76186
b1646	sodC	ECK1642	P0AGD1
b1647	ydhF	ECK1643	P76187
b1648	ydhL	ECK1644	P64474
b1649	nemR	ECK1645	P67430
b1650	nemA	ECK1646	P77258
b1651	gloA	ECK1647	P0AC81
b1652	rnt	ECK1648	P30014
b1653	lhr	ECK1649	P30015
b1654	grxD	ECK1650	P0AC69
b1655	mepH	ECK1651	P76190
b1656	sodB	ECK1652	P0AGD3
b1657	ydhP	ECK1653	P77389
b4602	ynhF	ECK4411	A5A618
b1658	purR	ECK1654	P0ACP7
b1659	ydhB	ECK1655	P0ACR2
b1660	ydhC	ECK1656	P37597
b1661	cfa	ECK1657	P0A9H7
b1662	ribC	ECK1658	P0AFU8
b1663	mdtK	ECK1659	P37340
b1664	ydhQ	ECK1660	P77552
b1667	ydhR	ECK1663	P0ACX3
b1668	ydhS	ECK1664	P77148
b1669	ydhT	ECK1665	P77147
b1670	ydhU	ECK1666	P77409
b1671	ydhX	ECK1667	P77375
b1672	ydhW	ECK1668	P77564
b1673	ydhV	ECK1669	P76192
b1674	ydhY	ECK1670	P0AAL6
b1675	ydhZ	ECK1671	P0ACX5
b1676	pykF	ECK1672	P0AD61
b1677	lpp	ECK1673	P69776
b1678	ldtE	ECK1674	P76193
b1679	sufE	ECK1675	P76194
b1680	sufS	ECK1676	P77444
b1681	sufD	ECK1677	P77689
b1682	sufC	ECK1678	P77499
b1683	sufB	ECK1679	P77522
b1684	sufA	ECK1680	P77667
b1685	ydiH	ECK1682	P64476
b1686	menI	ECK1683	P77781
b1687	ydiJ	ECK1684	P77748
b1688	ydiK	ECK1685	P0AFS7
b1689	ydiL	ECK1687	P76196
b1690	ydiM	ECK1688	P76197
b1691	ydiN	ECK1689	P76198
b1692	ydiB	ECK1690	P0A6D5
b1693	aroD	ECK1691	P05194
b1694	ydiF	ECK1692	P37766
b1695	ydiO	ECK1693	P0A9U8
b1696	ydiP	ECK1694	P77402
b1697	ydiQ	ECK1695	P76201
b1698	ydiR	ECK1696	P77378
b1699	ydiS	ECK1697	P77337
b1700	ydiT	ECK1698	P77714
b1701	fadK	ECK1699	P38135
b1702	ppsA	ECK1700	P23538
b1703	ppsR	ECK1701	P0A8A4
b1704	aroH	ECK1702	P00887
b1705	ydiE	ECK1703	P0ACX9
b1706	ydiU	ECK1704	P77649
b1707	ydiV	ECK1705	P76204
b1708	nlpC	ECK1706	P23898
b1709	btuD	ECK1707	P06611
b1710	btuE	ECK1708	P06610
b1711	btuC	ECK1709	P06609
b1712	ihfA	ECK1710	P0A6X7
b1713	pheT	ECK1711	P07395
b1714	pheS	ECK1712	P08312
b1715	pheM	ECK1713	P0AD74
b1716	rplT	ECK1714	P0A7L3
b1717	rpmI	ECK1715	P0A7Q1
b1718	infC	ECK1716	P0A707
b1719	thrS	ECK1717	P0A8M3
b4535	yniD	ECK1719	Q2EES1
b1722	ydiY	ECK1720	P76206
b1723	pfkB	ECK1721	P06999
b1724	ydiZ	ECK1722	P64479
b1725	yniA	ECK1723	P77739
b1726	yniB	ECK1724	P76208
b1727	yniC	ECK1725	P77247
b1728	ydjM	ECK1726	P64481
b1729	ydjN	ECK1727	P77529
b1730	ydjO	ECK1728	P76210
b1731	cedA	ECK1729	P0AE60
b1732	katE	ECK1730	P21179
b1733	chbG	ECK1731	P37794
b1734	chbF	ECK1732	P17411
b1735	chbR	ECK1733	P17410
b1736	chbA	ECK1734	P69791
b1737	chbC	ECK1735	P17334
b1738	chbB	ECK1736	P69795
b1739	osmE	ECK1737	P0ADB1
b1740	nadE	ECK1738	P18843
b1741	cho	ECK1739	P76213
b1742	ves	ECK1740	P76214
b1743	spy	ECK1741	P77754
b1744	astE	ECK1742	P76215
b1745	astB	ECK1743	P76216
b1746	astD	ECK1744	P76217
b1747	astA	ECK1745	P0AE37
b1748	astC	ECK1746	P77581
b1749	xthA	ECK1747	P09030
b1750	ydjX	ECK1748	P76219
b1751	ydjY	ECK1749	P76220
b1752	ydjZ	ECK1750	P76221
b1753	ynjA	ECK1751	P76222
b1754	ynjB	ECK1752	P76223
b1755	ynjC	ECK1753	P76224
b1756	ynjD	ECK1754	P76909
b1757	ynjE	ECK1755	P78067
b1758	ynjF	ECK1756	P76226
b1759	nudG	ECK1757	P77788
b1760	ynjH	ECK1758	P76227
b1761	gdhA	ECK1759	P00370
b1762	ynjI	ECK1760	P76228
b1763	topB	ECK1761	P14294
b1764	selD	ECK1762	P16456
b1765	ydjA	ECK1763	P0ACY1
b1766	sppA	ECK1764	P08395
b1767	ansA	ECK1765	P0A962
b1768	pncA	ECK1766	P21369
b1769	ydjE	ECK1767	P38055
b1770	ydjF	ECK1768	P77721
b1771	ydjG	ECK1769	P77256
b1772	ydjH	ECK1770	P77493
b1773	ydjI	ECK1771	P77704
b1774	ydjJ	ECK1772	P77280
b1775	ydjK	ECK1773	P76230
b1776	ydjL	ECK1774	P77539
b1777	yeaC	ECK1775	P76231
b1778	msrB	ECK1776	P0A746
b1779	gapA	ECK1777	P0A9B2
b1780	yeaD	ECK1778	P39173
b1781	yeaE	ECK1779	P76234
b1782	mipA	ECK1780	P0A908
b1783	yeaG	ECK1781	P0ACY3
b1784	yeaH	ECK1782	P76235
b1785	yeaI	ECK1783	P76236
b1786	yeaJ	ECK1784	P76237
b1787	yeaK	ECK1785	P64483
b1788	yoaI	ECK4472	P76239
b1789	yeaL	ECK1787	P0ACY6
b1790	yeaM	ECK1788	P76241
b1791	yeaN	ECK1789	P76242
b1792	yeaO	ECK1790	P76243
b1793	yoaF	ECK1791	P64493
b1794	yeaP	ECK1792	P76245
b4676	yoaK	ECK4491	C1P602
b4675	yoaJ	ECK4490	C1P603
b1795	yeaQ	ECK1793	P64485
b1796	yoaG	ECK1794	P64496
b1797	yeaR	ECK1795	P64488
b1798	leuE	ECK1796	P76249
b1799	dmlR	ECK1797	P76250
b1800	dmlA	ECK1798	P76251
b1801	yeaV	ECK1799	P0ABD1
b1802	yeaW	ECK1800	P0ABR7
b1803	yeaX	ECK1801	P76254
b1804	rnd	ECK1802	P09155
b1805	fadD	ECK1803	P69451
b1806	yeaY	ECK1804	P0AA91
b1807	tsaB	ECK1805	P76256
b1808	yoaA	ECK1806	P76257
b1809	yoaB	ECK1807	P0AEB7
b1810	yoaC	ECK1808	P64490
b1811	yoaH	ECK1809	P67338
b1812	pabB	ECK1810	P05041
b1813	nudL	ECK1811	P43337
b1814	sdaA	ECK1812	P16095
b1815	yoaD	ECK1813	P76261
b1816	yoaE	ECK1814	P0AEC0
b1817	manX	ECK1815	P69797
b1818	manY	ECK1816	P69801
b1819	manZ	ECK1817	P69805
b1820	yobD	ECK1818	P67601
b1821	mntP	ECK1819	P76264
b1822	rlmA	ECK1820	P36999
b1823	cspC	ECK1821	P0A9Y6
b1824	yobF	ECK1822	P64508
b1825	yebO	ECK1823	P64499
b1826	mgrB	ECK1824	P64512
b4536	yobH	ECK1825	Q2MB16
b1827	kdgR	ECK1826	P76268
b1828	yebQ	ECK1827	P76269
b1829	htpX	ECK1828	P23894
b1830	prc	ECK1829	P23865
b1831	proQ	ECK1830	P45577
b1832	msrC	ECK1831	P76270
b1833	yebS	ECK1832	P0AD03
b1834	yebT	ECK1833	P76272
b1835	rsmF	ECK1834	P76273
b1836	yebV	ECK1835	P64503
b1837	yebW	ECK1836	P76275
b1838	pphA	ECK1837	P55798
b1839	yebY	ECK1840	P64506
b1840	yebZ	ECK1841	P76278
b1841	yobA	ECK1842	P0AA57
b1842	holE	ECK1843	P0ABS8
b1843	yobB	ECK1844	P76280
b1844	exoX	ECK1845	P0AEK0
b1845	ptrB	ECK1846	P24555
b1846	yebE	ECK1847	P33218
b1847	yebF	ECK1848	P33219
b1848	yebG	ECK1849	P0ACY9
b1849	purT	ECK1850	P33221
b1850	eda	ECK1851	P0A955
b1851	edd	ECK1852	P0ADF6
b1852	zwf	ECK1853	P0AC53
b1853	yebK	ECK1854	P46118
b1854	pykA	ECK1855	P21599
b1855	lpxM	ECK1856	P24205
b1856	mepM	ECK1857	P0AFS9
b1857	znuA	ECK1858	P39172
b1858	znuC	ECK1859	P0A9X1
b1859	znuB	ECK1860	P39832
b1860	ruvB	ECK1861	P0A812
b1861	ruvA	ECK1862	P0A809
b4677	yobI	ECK4492	C1P604
b1862	yebB	ECK1863	P24238
b1863	ruvC	ECK1864	P0A814
b1864	yebC	ECK1865	P0A8A0
b1865	nudB	ECK1866	P0AFC0
b1866	aspS	ECK1867	P21889
b1867	yecD	ECK1868	P0ADI7
b1868	yecE	ECK1869	P37348
b1869	yecN	ECK1870	P64515
b1870	cmoA	ECK1871	P76290
b1871	cmoB	ECK1872	P76291
b1872	torZ	ECK1873	P46923
b1873	torY	ECK1874	P52005
b1874	cutC	ECK1875	P67826
b1875	yecM	ECK1876	P52007
b1876	argS	ECK1877	P11875
b1877	yecT	ECK1878	P76296
b1878	flhE	ECK1879	P76297
b1879	flhA	ECK1880	P76298
b1880	flhB	ECK1881	P76299
b1881	cheZ	ECK1882	P0A9H9
b1882	cheY	ECK1883	P0AE67
b1883	cheB	ECK1884	P07330
b1884	cheR	ECK1885	P07364
b1885	tap	ECK1886	P07018
b1886	tar	ECK1887	P07017
b1887	cheW	ECK1888	P0A964
b1888	cheA	ECK1889	P07363
b1889	motB	ECK1890	P0AF06
b1890	motA	ECK1891	P09348
b1891	flhC	ECK1892	P0ABY7
b1892	flhD	ECK1893	P0A8S9
b1893	insB1	ECK0022	P0CF30
b1894	insA	ECK4541	P0CF13
b1895	uspC	ECK1894	P46888
b1896	otsA	ECK1895	P31677
b1897	otsB	ECK1896	P31678
b4460	araH	ECK1897	P0AE26
b1900	araG	ECK1898	P0AAF3
b1901	araF	ECK1899	P02924
b1902	ftnB	ECK1900	P0A9A2
b4537	yecJ	ECK1901	P0AD10
b4663	azuC	ECK4478	C1P605
b1904	yecR	ECK1903	P76308
b1905	ftnA	ECK1904	P0A998
b1906	yecH	ECK1905	P46887
b1907	tyrP	ECK1906	P0AAD4
b1908	yecA	ECK1907	P0AD05
b1912	pgsA	ECK1911	P0ABF8
b1913	uvrC	ECK1912	P0A8G0
b1914	uvrY	ECK1913	P0AED5
b1915	yecF	ECK1914	P0AD07
b1916	sdiA	ECK1915	P07026
b1917	yecC	ECK1916	P37774
b1918	yecS	ECK1917	P0AFT2
b1919	dcyD	ECK1918	P76316
b1920	fliY	ECK1919	P0AEM9
b1921	fliZ	ECK1920	P52627
b1922	fliA	ECK1921	P0AEM6
b1923	fliC	ECK1922	P04949
b1924	fliD	ECK1923	P24216
b1925	fliS	ECK1924	P26608
b1926	fliT	ECK1925	P0ABY2
b1927	amyA	ECK1926	P26612
b1928	yedD	ECK1927	P31063
b1929	yedE	ECK1928	P31064
b1930	yedF	ECK1929	P0AA31
b1931	yedK	ECK1930	P76318
b1932	yedL	ECK1931	P76319
b1937	fliE	ECK1935	P0A8T5
b1938	fliF	ECK1936	P25798
b1939	fliG	ECK1937	P0ABZ1
b1940	fliH	ECK1938	P31068
b1941	fliI	ECK1939	P52612
b1942	fliJ	ECK1940	P52613
b1943	fliK	ECK1941	P52614
b1944	fliL	ECK1942	P0ABX8
b1945	fliM	ECK1943	P06974
b1946	fliN	ECK1944	P15070
b1947	fliO	ECK1945	P22586
b1948	fliP	ECK1946	P0AC05
b1949	fliQ	ECK1947	P0AC07
b1950	fliR	ECK1948	P33135
b1951	rcsA	ECK1949	P69405
b1952	dsrB	ECK1950	P0AEG8
b1953	yodD	ECK1951	P64519
b1955	yedP	ECK1953	P76329
b1956	yedQ	ECK1954	P76330
b1957	yodC	ECK1955	P64517
b1958	yedI	ECK1956	P46125
b1959	yedA	ECK1957	P0AA70
b1960	vsr	ECK1958	P09184
b1961	dcm	ECK1959	P0AED9
b1962	yedJ	ECK1960	P46144
b1963	yedR	ECK1961	P76334
b1967	hchA	ECK1963	P31658
b1968	yedV	ECK1964	P76339
b1969	yedW	ECK1965	P76340
b1970	hiuH	ECK1966	P76341
b1971	yedY	ECK1967	P76342
b1972	yedZ	ECK1968	P76343
b1973	zinT	ECK1969	P76344
b1974	yodB	ECK1970	P76345
b1976	mtfA	ECK1972	P76346
b1978	yeeJ	ECK1974	P76347
b1981	shiA	ECK1976	P76350
b1982	amn	ECK1977	P0AE12
b1983	yeeN	ECK1978	P0A8A2
b1985	yeeO	ECK1980	P76352
b1987	cbl	ECK1982	Q47083
b1988	nac	ECK1983	Q47005
b1990	ldtA	ECK1985	P39176
b1991	cobT	ECK1986	P36562
b1992	cobS	ECK1987	P36561
b1993	cobU	ECK1988	P0AE76
b1994	insH1	ECK0261	P0CE53
b1996	insD1	ECK0358	P0CF55
b1997	insC1	ECK0357	P0CF42
b2000	flu	ECK1993	P39180
b2001	yeeR	ECK1994	P76361
b2002	yeeS	ECK1995	P76362
b2003	yeeT	ECK1996	P64521
b2004	cbeA	ECK1997	P76364
b2005	cbtA	ECK1998	P64524
b2007	yeeX	ECK2001	P0A8M6
b2008	yeeA	ECK2002	P33011
b2009	sbmC	ECK2003	P33012
b2010	dacD	ECK2004	P33013
b2011	sbcB	ECK2005	P04995
b2012	yeeD	ECK2006	P33014
b2013	yeeE	ECK2007	P33015
b2014	plaP	ECK2008	P0AA47
b4678	yoeI	ECK4493	C1P606
b2015	yeeY	ECK2009	P76369
b2016	yeeZ	ECK2010	P0AD12
b4539	yoeB	ECK2011	P69348
b2017	yefM	ECK2012	P69346
b2018	hisL	ECK2013	P60995
b2019	hisG	ECK2014	P60757
b2020	hisD	ECK2015	P06988
b2021	hisC	ECK2016	P06986
b2022	hisB	ECK2017	P06987
b2023	hisH	ECK2018	P60595
b2024	hisA	ECK2019	P10371
b2025	hisF	ECK2020	P60664
b2026	hisI	ECK2021	P06989
b2027	wzzB	ECK2022	P76372
b2028	ugd	ECK2023	P76373
b2029	gnd	ECK2024	P00350
b2030	insH1	ECK0261	P0CE54
b2032	wbbK	ECK2026	P37751
b2033	wbbJ	ECK2027	P37750
b2034	wbbI	ECK2028	P37749
b2035	wbbH	ECK2029	P37748
b2036	glf	ECK2030	P37747
b2037	wzxB	ECK2031	P37746
b2038	rfbC	ECK2032	P37745
b2039	rfbA	ECK2033	P37744
b2040	rfbD	ECK2034	P37760
b2041	rfbB	ECK2035	P37759
b2042	wcaN	ECK2036	P0AAB6
b2043	wcaM	ECK2037	P71244
b2044	wcaL	ECK2038	P71243
b2045	wcaK	ECK2039	P71242
b2046	wzxC	ECK2040	P77377
b2047	wcaJ	ECK2041	P71241
b2048	cpsG	ECK2042	P24175
b2049	cpsB	ECK2043	P24174
b2050	wcaI	ECK2044	P32057
b2051	wcaH	ECK2045	P32056
b2052	wcaG	ECK2046	P32055
b2053	gmd	ECK2047	P0AC88
b2054	wcaF	ECK2048	P0ACD2
b2055	wcaE	ECK2049	P71239
b2056	wcaD	ECK2050	P71238
b2057	wcaC	ECK2051	P71237
b2058	wcaB	ECK2052	P0ACC9
b2059	wcaA	ECK2053	P77414
b2060	wzc	ECK2054	P76387
b2061	wzb	ECK2055	P0AAB2
b2062	wza	ECK2056	P0A930
b2063	yegH	ECK2057	P76389
b2064	asmA	ECK2058	P28249
b2065	dcd	ECK2059	P28248
b2066	udk	ECK2060	P0A8F4
b2067	yegE	ECK2061	P38097
b2068	alkA	ECK2062	P04395
b2069	yegD	ECK2063	P36928
b2070	yegI	ECK2064	P76393
b2071	yegJ	ECK2065	P76394
b2072	yegK	ECK2066	P76395
b2073	yegL	ECK2067	P76396
b4667	ibsA	ECK4482	C1P607
b4668	ibsB	ECK4483	C1P608
b2074	mdtA	ECK2070	P76397
b2075	mdtB	ECK2071	P76398
b2076	mdtC	ECK2072	P76399
b2077	mdtD	ECK2073	P36554
b2078	baeS	ECK2074	P30847
b2079	baeR	ECK2075	P69228
b2080	yegP	ECK2076	P76402
b2081	yegQ	ECK2077	P76403
b2082	ogrK	ECK2079	P37057
b2085	yegR	ECK2081	P76406
b2086	yegS	ECK2082	P76407
b2088	insE1	ECK0298	P0CF70
b2089	insF1	ECK0299	P0CF83
b2091	gatD	ECK2084	P0A9S3
b2093	gatB	ECK2086	P37188
b2094	gatA	ECK2087	P69828
b2095	gatZ	ECK2088	P0C8J8
b2096	gatY	ECK2089	P0C8J6
b2097	fbaB	ECK2090	P0A991
b2098	yegT	ECK2091	P76417
b2099	yegU	ECK2092	P76418
b2100	yegV	ECK2093	P76419
b2101	yegW	ECK2094	P0ACM5
b2102	yegX	ECK2095	P76421
b2103	thiD	ECK2096	P76422
b2104	thiM	ECK2097	P76423
b2105	rcnR	ECK2098	P64530
b2106	rcnA	ECK2099	P76425
b2107	rcnB	ECK2100	P64534
b2108	yehA	ECK2101	P33340
b2109	yehB	ECK2102	P33341
b2110	yehC	ECK2103	P33342
b2111	yehD	ECK2104	P33343
b2112	yehE	ECK2105	P33344
b2113	mrp	ECK2106	P0AF08
b2114	metG	ECK2107	P00959
b2118	yehI	ECK2109	P33346
b4541	yehK	ECK2110	P33347
b2119	yehL	ECK2111	P33348
b2120	yehM	ECK2112	P33349
b2121	yehP	ECK2113	P33352
b2123	yehR	ECK2115	P33354
b2124	yehS	ECK2116	P33355
b2125	yehT	ECK2117	P0AFT5
b2126	yehU	ECK2118	P0AD14
b2127	mlrA	ECK2119	P33358
b4542	yohO	ECK2120	Q2EES6
b2128	yehW	ECK2121	P33359
b2129	yehX	ECK2122	P33360
b2130	yehY	ECK2123	P33361
b2131	osmF	ECK2124	P33362
b2132	bglX	ECK2125	P33363
b2133	dld	ECK2126	P06149
b2134	pbpG	ECK2127	P0AFI5
b2135	yohC	ECK2128	P0AD17
b2136	yohD	ECK2129	P33366
b2137	yohF	ECK2130	P33368
b4679	yohP	ECK4494	C1P609
b2140	dusC	ECK2133	P33371
b2141	yohJ	ECK2134	P60632
b2142	yohK	ECK2135	P0AD19
b2143	cdd	ECK2136	P0ABF6
b2144	sanA	ECK2137	P0AFY2
b2145	yeiS	ECK2138	P64536
b2146	preT	ECK2139	P76440
b2147	preA	ECK2140	P25889
b2148	mglC	ECK2141	P23200
b2149	mglA	ECK2142	P0AAG8
b2150	mglB	ECK2143	P0AEE5
b2151	galS	ECK2144	P25748
b2152	yeiB	ECK2145	P25747
b2153	folE	ECK2146	P0A6T5
b2154	yeiG	ECK2147	P33018
b2155	cirA	ECK2148	P17315
b2156	lysP	ECK2149	P25737
b2157	yeiE	ECK2150	P0ACR4
b2158	yeiH	ECK2151	P62723
b2159	nfo	ECK2152	P0A6C1
b2160	yeiI	ECK2153	P33020
b2161	nupX	ECK2154	P33021
b2162	rihB	ECK2155	P33022
b2163	yeiL	ECK2156	P0A9E9
b2164	psuT	ECK2157	P33024
b2165	psuG	ECK2158	P33025
b2166	psuK	ECK2159	P30235
b2167	fruA	ECK2160	P20966
b2168	fruK	ECK2161	P0AEW9
b2169	fruB	ECK2162	P69811
b2170	setB	ECK2163	P33026
b4502	yeiW	ECK2164	P0AFT8
b2171	yeiP	ECK2165	P0A6N8
b2172	yeiQ	ECK2166	P33029
b2173	yeiR	ECK2167	P33030
b2174	lpxT	ECK2168	P76445
b2175	mepS	ECK2169	P0AFV4
b2176	rtn	ECK2170	P76446
b2177	yejA	ECK2171	P33913
b2178	yejB	ECK2172	P0AFU0
b2179	yejE	ECK2173	P33915
b2180	yejF	ECK2174	P33916
b2181	yejG	ECK2175	P0AD21
b2182	bcr	ECK2176	P28246
b2183	rsuA	ECK2177	P0AA43
b2184	yejH	ECK2178	P33919
b2185	rplY	ECK2179	P68919
b2186	yejK	ECK2180	P33920
b2187	yejL	ECK2181	P0AD24
b2188	yejM	ECK2182	P0AD27
b2192	insH1	ECK0261	P0CE55
b2193	narP	ECK2185	P31802
b2194	ccmH	ECK2186	P0ABM9
b2195	dsbE	ECK2187	P0AA86
b2196	ccmF	ECK2188	P33927
b2197	ccmE	ECK2189	P69490
b2198	ccmD	ECK2190	P0ABM5
b2199	ccmC	ECK2191	P0ABM1
b2200	ccmB	ECK2192	P0ABL8
b2201	ccmA	ECK2193	P33931
b2202	napC	ECK2194	P0ABL5
b2203	napB	ECK2195	P0ABL3
b2204	napH	ECK2196	P33934
b2205	napG	ECK2197	P0AAL3
b2206	napA	ECK2198	P33937
b2207	napD	ECK2199	P0A9I5
b2208	napF	ECK2200	P0AAL0
b2209	eco	ECK2201	P23827
b2210	mqo	ECK2202	P33940
b2211	yojI	ECK2203	P33941
b2212	alkB	ECK2204	P05050
b2213	ada	ECK2205	P06134
b2214	apbE	ECK2206	P0AB85
b2215	ompC	ECK2207	P06996
b2216	rcsD	ECK2209	P39838
b2217	rcsB	ECK2210	P69407
b2218	rcsC	ECK2211	P14376
b2219	atoS	ECK2212	Q06067
b2220	atoC	ECK2213	Q06065
b2221	atoD	ECK2214	P76458
b2222	atoA	ECK2215	P76459
b2223	atoE	ECK2216	P76460
b2224	atoB	ECK2217	P76461
b2225	yfaP	ECK2218	P76462
b2226	yfaQ	ECK2219	P76463
b2229	yfaT	ECK2221	P76466
b2230	yfaA	ECK2222	P17994
b2231	gyrA	ECK2223	P0AES4
b2232	ubiG	ECK2224	P17993
b2233	yfaL	ECK2225	P45508
b2234	nrdA	ECK2226	P00452
b2235	nrdB	ECK2227	P69924
b2236	yfaE	ECK2228	P0ABW3
b2237	inaA	ECK2229	P27294
b2239	glpQ	ECK2231	P09394
b2240	glpT	ECK2232	P08194
b2241	glpA	ECK2233	P0A9C0
b2242	glpB	ECK2234	P13033
b2243	glpC	ECK2235	P0A996
b2244	yfaD	ECK2236	P37014
b2245	rhmA	ECK2238	P76469
b2246	rhmT	ECK2239	P76470
b2247	rhmD	ECK2240	P77215
b2248	rhmR	ECK2241	P77732
b2249	yfaY	ECK2242	P77808
b2250	yfaZ	ECK2243	P76471
b2251	nudI	ECK2244	P52006
b2252	ais	ECK2245	P45565
b2253	arnB	ECK2246	P77690
b2254	arnC	ECK2247	P77757
b2255	arnA	ECK2248	P77398
b2256	arnD	ECK2249	P76472
b2257	arnT	ECK2250	P76473
b4544	arnE	ECK2251	Q47377
b2258	arnF	ECK2252	P76474
b2259	pmrD	ECK2253	P37590
b2260	menE	ECK2254	P37353
b2261	menC	ECK2255	P29208
b2262	menB	ECK2256	P0ABU0
b2263	menH	ECK2257	P37355
b2264	menD	ECK2258	P17109
b2265	menF	ECK2259	P38051
b2266	elaB	ECK2260	P0AEH5
b2267	elaA	ECK2261	P0AEH3
b2268	rbn	ECK2262	P0A8V0
b2269	elaD	ECK2263	Q47013
b2270	yfbK	ECK2264	P76481
b2271	yfbL	ECK2265	P76482
b2272	yfbM	ECK2266	P76483
b2273	yfbN	ECK2267	P76484
b2274	yfbO	ECK2268	P76485
b2275	yfbP	ECK2269	P76486
b2276	nuoN	ECK2270	P0AFF0
b2277	nuoM	ECK2271	P0AFE8
b2278	nuoL	ECK2272	P33607
b2279	nuoK	ECK2273	P0AFE4
b2280	nuoJ	ECK2274	P0AFE0
b2281	nuoI	ECK2275	P0AFD6
b2282	nuoH	ECK2276	P0AFD4
b2283	nuoG	ECK2277	P33602
b2284	nuoF	ECK2278	P31979
b2285	nuoE	ECK2279	P0AFD1
b2286	nuoC	ECK2280	P33599
b2287	nuoB	ECK2281	P0AFC7
b2288	nuoA	ECK2282	P0AFC3
b2289	lrhA	ECK2283	P36771
b2290	alaA	ECK2284	P0A959
b2291	yfbR	ECK2285	P76491
b2292	yfbS	ECK2286	P0AFU2
b2293	yfbT	ECK2287	P77625
b2294	yfbU	ECK2288	P0A8W8
b2295	yfbV	ECK2289	P0A8D9
b2296	ackA	ECK2290	P0A6A3
b2297	pta	ECK2291	P0A9M8
b2298	yfcC	ECK2292	P39263
b2299	yfcD	ECK2293	P65556
b2300	yfcE	ECK2294	P67095
b2301	yfcF	ECK2295	P77544
b2302	yfcG	ECK2296	P77526
b2303	folX	ECK2297	P0AC19
b2304	yfcH	ECK2298	P77775
b2305	yfcI	ECK2299	P77768
b2306	hisP	ECK2300	P07109
b2307	hisM	ECK2301	P0AEU3
b2308	hisQ	ECK2302	P52094
